Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
Giant boulder,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Giant easter egg,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Giant present,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Gilded 2h sword,-4,69,50,-4,0,0,0,0,0,-1,70,0,0.0,0,7.0
Gilded spade,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Gilded spear,36,36,36,0,0,1,1,0,0,0,42,0,0.0,0,5.0
Granite maul (or),0,0,81,0,0,0,0,0,0,0,79,0,0.0,0,7.0
Granite maul,0,0,81,0,0,0,0,0,0,0,79,0,0.0,0,7.0
Gregg's eastdoor,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,6.0
Guthan's warspear,75,75,75,0,0,7,7,7,0,0,75,0,0.0,0,5.0
Guthix mjolnir,0,0,11,0,0,0,0,0,0,0,14,0,0.0,0,6.0
Heavy ballista,0,0,0,0,125,0,0,0,0,0,0,15,0.0,0,7.0
Heavy casket,-4,-4,11,-4,0,0,0,0,0,0,9,0,0.0,0,6.0
Hill giant club,-4,50,65,-4,0,0,0,0,0,-1,70,0,0.0,0,7.0
Iron 2h sword,-4,13,10,-4,0,0,0,0,0,-1,14,0,0.0,0,7.0
Iron claws,4,6,-4,0,0,2,3,1,0,0,7,0,0.0,0,4.0
Iron halberd,9,12,0,-4,0,-1,1,2,0,0,12,0,0.0,0,7.0
Iron spear,8,8,8,0,0,1,1,0,0,0,10,0,0.0,0,5.0
Karil's crossbow,0,0,0,0,84,0,0,0,0,0,0,0,0.0,0,4.0
Katana,7,45,0,0,0,3,7,7,0,-3,40,0,0.0,0,4.0
Large spade,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Leaf-bladed spear,47,42,36,0,0,1,1,0,0,0,50,0,0.0,0,5.0
Light ballista,0,0,0,0,110,0,0,0,0,0,0,0,0.0,0,7.0
Longbow,0,0,0,0,8,0,0,0,0,0,0,0,0.0,0,6.0
Magic comp bow,0,0,0,0,71,0,0,0,0,0,0,0,0.0,0,5.0
Magic longbow,0,0,0,0,69,0,0,0,0,0,0,0,0.0,0,6.0
Magic shortbow,0,0,0,0,69,0,0,0,0,0,0,0,0.0,0,4.0
Magic shortbow (i),0,0,0,0,75,0,0,0,0,0,0,0,0.0,0,4.0
Maple longbow,0,0,0,0,29,0,0,0,0,0,0,0,0.0,0,6.0
Maple shortbow,0,0,0,0,29,0,0,0,0,0,0,0,0.0,0,4.0
Merfolk trident,8,8,8,0,0,1,1,0,0,0,4,0,0.0,0,5.0
Mithril 2h sword,-4,30,24,-4,0,0,0,0,0,-1,31,0,0.0,0,7.0
Mithril claws,11,16,-4,0,0,4,8,2,0,0,17,0,0.0,0,4.0
Mithril halberd,22,28,0,-4,0,-1,2,4,0,0,29,0,0.0,0,7.0
Mithril spear,17,17,17,0,0,1,1,0,0,0,18,0,0.0,0,5.0
Nunchaku,-4,-4,11,-4,0,0,0,0,0,0,14,0,0.0,0,5.0
Oak longbow,0,0,0,0,14,0,0,0,0,0,0,0,0.0,0,6.0
Oak shortbow,0,0,0,0,14,0,0,0,0,0,0,0,0.0,0,4.0
Ogre bow,0,0,0,0,38,0,0,0,0,0,0,0,0.0,0,8.0
Orange salamander,0,19,0,0,29,0,0,0,0,0,31,0,0.0,0,5.0
Pharaoh's sceptre,7,-1,25,10,0,2,3,1,10,0,32,0,0.0,0,4.0
Rain bow,0,0,0,0,8,0,0,0,0,0,0,0,0.0,0,4.0
Red salamander,0,37,0,0,47,0,0,0,0,0,49,0,0.0,0,5.0
Rune 2h sword,-4,69,50,-4,0,0,0,0,0,-1,70,0,0.0,0,7.0
Rune claws,26,38,-4,0,0,10,19,5,0,0,39,0,0.0,0,4.0
Rune halberd,48,67,0,-4,0,-1,4,5,0,0,68,0,0.0,0,7.0
Rune spear,36,36,36,0,0,1,1,0,0,0,42,0,0.0,0,5.0
Saradomin godsword,0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Saradomin godsword (or),0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Saradomin mjolnir,0,0,11,0,0,0,0,0,0,0,14,0,0.0,0,6.0
Saradomin sword,0,82,60,0,0,0,0,0,0,0,82,0,0.0,2,4.0
Saradomin's blessed sword,0,100,60,0,0,0,0,0,0,0,88,0,0.0,2,4.0
Scythe,3,8,3,0,0,0,3,1,0,0,10,0,0.0,0,6.0
Scythe of vitur,70,110,30,-6,0,-2,8,10,0,0,75,0,0.0,0,5.0
Scythe of vitur,50,75,10,-6,0,-2,6,0,0,0,50,0,0.0,0,5.0
Seercull,0,0,0,0,69,0,0,0,0,0,0,0,0.0,0,5.0
Shadow sword,-4,27,21,4,0,0,0,0,4,-1,26,0,0.0,0,6.0
Shortbow,0,0,0,0,8,0,0,0,0,0,0,0,0.0,0,4.0
Signed oak bow,0,0,0,0,14,0,0,0,0,0,0,0,0.0,0,6.0
Skeleton lantern,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Spatula,-4,27,21,-4,0,0,0,0,0,-1,26,0,0.0,0,7.0
Steel 2h sword,-4,21,16,-4,0,0,0,0,0,-1,22,0,0.0,0,7.0
Steel claws,8,11,-4,0,0,3,6,2,0,0,12,0,0.0,0,4.0
Steel halberd,14,19,0,-4,0,-1,1,2,0,0,20,0,0.0,0,7.0
Steel spear,12,12,12,0,0,1,1,0,0,0,12,0,0.0,0,5.0
Swamp lizard,0,10,0,0,20,0,0,0,0,0,22,0,0.0,0,5.0
Toktz-mej-tal,15,-1,55,15,0,10,15,5,15,0,55,0,0.0,5,6.0
Torag's hammers,-4,-4,85,-4,0,0,0,0,0,0,72,0,0.0,0,5.0
Toxic blowpipe,0,0,0,0,60,0,0,0,0,0,0,40,0.0,0,3.0
Toxic blowpipe,0,0,0,0,60,0,0,0,0,0,0,0,0.0,0,3.0
Trailblazer adamant trophy,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Trailblazer dragon trophy,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Training bow,0,0,0,0,8,0,0,0,0,0,0,0,0.0,0,4.0
Twisted adamant trophy,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Twisted bow,0,0,0,0,70,0,0,0,0,0,0,20,0.0,4,6.0
Twisted dragon trophy,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Twisted rune trophy,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Tzhaar-ket-om,0,0,80,-4,0,0,0,0,0,0,85,0,0.0,0,7.0
Tzhaar-ket-om (t),0,0,80,-4,0,0,0,0,0,0,85,0,0.0,0,7.0
Verac's flail,68,-2,82,0,0,0,0,0,0,0,72,0,0.0,6,5.0
White 2h sword,-4,27,21,-4,0,0,0,0,0,-1,26,0,0.0,1,7.0
White claws,10,14,-4,0,0,4,7,2,0,0,14,0,0.0,1,4.0
White halberd,19,25,0,-4,0,-1,2,3,0,0,20,0,0.0,1,7.0
Willow comp bow,0,0,0,0,22,0,0,0,0,0,0,0,0.0,0,5.0
Willow longbow,0,0,0,0,20,0,0,0,0,0,0,0,0.0,0,6.0
Willow shortbow,0,0,0,0,20,0,0,0,0,0,0,0,0.0,0,4.0
Yew comp bow,0,0,0,0,49,0,0,0,0,0,0,0,0.0,0,5.0
Yew longbow,0,0,0,0,47,0,0,0,0,0,0,0,0.0,0,6.0
Yew shortbow,0,0,0,0,47,0,0,0,0,0,0,0,0.0,0,4.0
Zamorak godsword,0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Zamorak godsword (or),0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Zamorak mjolnir,0,0,11,0,0,0,0,0,0,0,14,0,0.0,0,6.0
Zamorakian spear,85,65,65,0,0,13,13,12,0,13,75,0,0.0,2,4.0
