Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
Dragonstone amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Drakan's medallion,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Emerald amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Emerald necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(1),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(2),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(3),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(4),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(5),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(6),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(7),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Games necklace#(8),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Ghostspeak amulet#Enchanted,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Ghostspeak amulet#Normal,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Glarial's amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Gnome amulet,0,0,0,0,0,13,13,13,0,0,0,0,+0%,0,
Gnome scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Gold amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Gold necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Guthix stole,0,0,0,2,0,0,0,0,2,0,0,0,+0%,10,
Hallowed symbol,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Ham logo,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Hazeel's mark,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Holy symbol,0,0,0,0,0,2,2,2,2,2,0,0,+0%,8,
Hosidius scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Jade amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Jade necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Jester scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Light bow tie,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Lovakengj scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Lunar amulet,0,0,0,1,0,0,0,0,1,0,0,0,+0%,0,
M'speak amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Necklace of anguish,0,0,0,0,15,0,0,0,0,0,0,5,+0%,2,
Necklace of anguish (or),0,0,0,0,15,0,0,0,0,0,0,5,+0%,2,
Necklace of faith,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Necklace of passage#(1),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Necklace of passage#(2),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Necklace of passage#(3),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Necklace of passage#(4),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Necklace of passage#(5),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Occult necklace,0,0,0,12,0,0,0,0,0,0,0,0,+10%,2,
Occult necklace (or),0,0,0,12,0,0,0,0,0,0,0,0,+10%,2,
Onyx amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Onyx necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Opal amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Opal necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Pendant of lucien,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Phoenix necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Piscarilius scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Pre-nature amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Rainbow scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Ruby amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Ruby necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Salve amulet,0,0,0,0,0,3,3,3,0,0,0,0,+0%,3,
Salve amulet (e),0,0,0,0,0,3,3,3,0,0,0,0,+0%,3,
Salve amulet(ei),0,0,0,0,0,3,3,3,0,0,0,0,+0%,3,
Salve amulet(i),0,0,0,0,0,3,3,3,0,0,0,0,+0%,3,
Sapphire amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Sapphire necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Saradomin stole,0,0,0,2,0,0,0,0,2,0,0,0,+0%,10,
Seal of passage,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Shayzien scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Silver necklace#Dusted,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Silver necklace#Normal,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#(1),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#(2),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#(3),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#(4),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#(5),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#(6),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Skills necklace#Uncharged,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Strength amulet (t),0,0,0,0,0,0,0,0,0,0,10,0,+0%,0,
Strung rabbit foot,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Topaz amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Topaz necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Tri-jester scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Unblessed symbol,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Unholy symbol,2,2,2,2,2,0,0,0,0,0,0,0,+0%,8,
Unpowered symbol,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Void seal#(1),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(2),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(3),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(4),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(5),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(6),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(7),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Void seal#(8),0,0,0,0,0,1,1,1,1,1,0,0,+0%,0,
Witchwood icon,0,0,0,1,0,0,0,0,0,0,0,0,+0%,1,
Woolly scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Xeric's talisman#Charged,0,0,0,3,0,0,0,0,1,0,0,0,+0%,0,
Xeric's talisman#Inert,0,0,0,2,0,0,0,0,0,0,0,0,+0%,0,
Yin yang amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Zamorak stole,0,0,0,2,0,0,0,0,2,0,0,0,+0%,10,
Zenyte amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Zenyte necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
'perfect' necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,

